ts,tsr_1_speed,tsr_1_sup,tsr_2_speed,tsr_2_sup,tsr_3_speed,tsr_3_sup,tsr_4_speed,tsr_4_sup
2020-10-29T18:37:03+00:00,5,0,254,0,254,0,254,0
2020-10-29T18:37:23+00:00,254,0,254,0,254,0,254,0
2020-10-29T18:37:40+00:00,64,0,254,0,254,0,254,0
2020-10-29T18:37:59+00:00,5,0,254,0,254,0,254,0
2020-10-29T18:37:59+00:00,5,0,200,0,254,0,254,0
2020-10-29T18:38:09+00:00,64,0,254,0,254,0,254,0
2020-10-29T18:38:47+00:00,7,0,254,0,254,0,254,0
2020-10-29T18:38:55+00:00,5,0,254,0,254,0,254,0
2020-10-29T18:39:02+00:00,3,0,200,0,254,0,254,0
2020-10-29T18:39:16+00:00,254,0,254,0,254,0,254,0
2020-10-29T18:41:08+00:00,254,0,201,0,254,0,254,0
2020-10-29T18:41:24+00:00,254,0,254,0,254,0,254,0
2020-10-29T18:41:28+00:00,7,0,254,0,254,0,254,0
2020-10-29T18:41:43+00:00,6,0,200,0,254,0,254,0
2020-10-29T18:41:59+00:00,6,0,254,0,254,0,254,0
2020-10-29T18:42:15+00:00,6,0,201,0,254,0,254,0
2020-10-29T18:42:31+00:00,6,0,254,0,254,0,254,0
2020-10-29T18:42:33+00:00,6,0,200,0,254,0,254,0
2020-10-29T18:42:36+00:00,4,0,200,0,254,0,254,0
2020-10-29T18:42:46+00:00,4,0,201,0,254,0,254,0
2020-10-29T18:43:02+00:00,4,0,254,0,254,0,254,0
2020-10-29T18:43:18+00:00,4,0,200,0,254,0,254,0
2020-10-29T18:43:34+00:00,4,0,254,0,254,0,254,0
2020-10-29T18:44:24+00:00,4,0,201,0,254,0,254,0
2020-10-29T18:44:35+00:00,4,0,200,0,254,0,254,0
2020-10-29T18:44:51+00:00,4,0,254,0,254,0,254,0
2020-10-29T18:44:54+00:00,4,0,201,0,254,0,254,0
2020-10-29T18:45:10+00:00,4,0,254,0,254,0,254,0
2020-10-29T18:45:24+00:00,4,0,200,0,254,0,254,0
2020-10-29T18:45:40+00:00,4,0,254,0,254,0,254,0
2020-10-29T18:45:44+00:00,4,0,201,0,254,0,254,0
2020-10-29T18:46:00+00:00,4,0,254,0,254,0,254,0
2020-10-29T18:46:02+00:00,254,0,254,0,254,0,254,0
2020-10-29T18:46:29+00:00,254,0,200,0,254,0,254,0
2020-10-29T18:46:33+00:00,4,0,200,0,254,0,254,0
2020-10-29T18:46:45+00:00,4,0,254,0,254,0,254,0
2020-10-29T18:47:29+00:00,4,0,201,0,254,0,254,0
2020-10-29T18:47:45+00:00,4,0,254,0,254,0,254,0
2020-10-29T18:47:57+00:00,4,0,200,0,254,0,254,0
2020-10-29T18:48:13+00:00,4,0,254,0,254,0,254,0
2020-10-29T18:49:00+00:00,254,0,254,0,254,0,254,0
2020-10-29T18:53:32+00:00,4,0,254,0,254,0,254,0
2020-10-29T18:53:40+00:00,2,0,254,0,254,0,254,0
2020-10-29T18:54:03+00:00,4,0,254,0,254,0,254,0
2020-10-29T18:54:23+00:00,2,0,254,0,254,0,254,0
2020-10-29T18:54:29+00:00,6,0,254,0,254,0,254,0
2020-10-29T18:54:52+00:00,254,0,254,0,254,0,254,0
2020-10-29T19:04:34+00:00,4,0,254,0,254,0,254,0
2020-10-29T19:04:37+00:00,4,0,201,0,254,0,254,0
2020-10-29T19:04:53+00:00,4,0,200,0,254,0,254,0
2020-10-29T19:05:06+00:00,4,0,201,0,254,0,254,0
2020-10-29T19:05:22+00:00,4,0,254,0,254,0,254,0
2020-10-29T19:05:48+00:00,4,0,200,0,254,0,254,0
2020-10-29T19:06:01+00:00,254,0,200,0,254,0,254,0
2020-10-29T19:06:04+00:00,254,0,254,0,254,0,254,0
2020-10-29T19:06:38+00:00,254,0,201,0,254,0,254,0
2020-10-29T19:06:54+00:00,254,0,254,0,254,0,254,0
2020-10-29T19:07:05+00:00,254,0,200,0,254,0,254,0
2020-10-29T19:07:22+00:00,254,0,254,0,254,0,254,0
2020-10-29T19:08:08+00:00,254,0,201,0,254,0,254,0
2020-10-29T19:08:24+00:00,254,0,254,0,254,0,254,0
2020-10-29T19:08:52+00:00,254,0,200,0,254,0,254,0
2020-10-29T19:09:08+00:00,254,0,254,0,254,0,254,0
2020-10-29T19:10:13+00:00,254,0,201,0,254,0,254,0
2020-10-29T19:10:29+00:00,254,0,254,0,254,0,254,0
2020-10-29T19:11:07+00:00,254,0,200,0,254,0,254,0
2020-10-29T19:11:23+00:00,254,0,254,0,254,0,254,0
2020-10-29T19:11:24+00:00,254,0,201,0,254,0,254,0
2020-10-29T19:11:40+00:00,254,0,254,0,254,0,254,0
2020-10-29T19:11:57+00:00,254,0,200,0,254,0,254,0
