ts,tsr_1_speed,tsr_1_sup,tsr_2_speed,tsr_2_sup,tsr_3_speed,tsr_3_sup,tsr_4_speed,tsr_4_sup
2020-10-28T15:48:34+00:00,254,0,254,0,254,0,254,0
2020-10-28T15:51:07+00:00,5,0,254,0,254,0,254,0
2020-10-28T15:51:32+00:00,7,0,254,0,254,0,254,0
2020-10-28T15:53:06+00:00,64,0,254,0,254,0,254,0
2020-10-28T15:53:09+00:00,64,0,5,6,254,0,254,0
2020-10-28T15:53:25+00:00,64,0,254,0,254,0,254,0
2020-10-28T15:53:30+00:00,64,0,6,6,254,0,254,0
2020-10-28T15:53:37+00:00,64,0,9,6,254,0,254,0
2020-10-28T15:53:40+00:00,64,0,4,6,254,0,254,0
2020-10-28T15:53:44+00:00,8,0,4,6,254,0,254,0
2020-10-28T15:53:56+00:00,8,0,254,0,254,0,254,0
2020-10-28T15:55:22+00:00,8,0,200,0,254,0,254,0
2020-10-28T15:55:38+00:00,8,0,254,0,254,0,254,0
2020-10-28T15:56:27+00:00,64,0,254,0,254,0,254,0
2020-10-28T15:57:14+00:00,11,0,254,0,254,0,254,0
2020-10-28T15:58:59+00:00,64,0,254,0,254,0,254,0
2020-10-28T15:59:03+00:00,11,0,254,0,254,0,254,0
2020-10-28T15:59:59+00:00,11,0,7,6,254,0,254,0
2020-10-28T16:00:15+00:00,11,0,254,0,254,0,254,0
2020-10-28T16:00:25+00:00,9,0,254,0,254,0,254,0
2020-10-28T16:00:36+00:00,7,0,254,0,254,0,254,0
2020-10-28T16:00:38+00:00,5,0,254,0,254,0,254,0
2020-10-28T16:00:59+00:00,11,0,254,0,254,0,254,0
2020-10-28T16:01:54+00:00,64,0,254,0,254,0,254,0
2020-10-28T16:02:00+00:00,11,0,254,0,254,0,254,0
2020-10-28T16:04:28+00:00,11,0,7,6,254,0,254,0
2020-10-28T16:04:44+00:00,11,0,254,0,254,0,254,0
2020-10-28T16:05:01+00:00,64,0,254,0,254,0,254,0
2020-10-28T16:05:04+00:00,11,0,254,0,254,0,254,0
2020-10-28T16:06:10+00:00,11,0,200,0,254,0,254,0
2020-10-28T16:06:26+00:00,11,0,254,0,254,0,254,0
2020-10-28T16:06:36+00:00,64,0,254,0,254,0,254,0
2020-10-28T16:06:41+00:00,11,0,254,0,254,0,254,0
2020-10-28T16:07:04+00:00,9,0,254,0,254,0,254,0
2020-10-28T16:07:49+00:00,64,0,254,0,254,0,254,0
2020-10-28T16:07:52+00:00,11,0,254,0,254,0,254,0
2020-10-28T16:12:42+00:00,64,0,254,0,254,0,254,0
2020-10-28T16:12:44+00:00,11,0,254,0,254,0,254,0
2020-10-28T16:18:02+00:00,5,0,254,0,254,0,254,0
2020-10-28T16:18:11+00:00,3,0,254,0,254,0,254,0
2020-10-28T16:18:39+00:00,5,0,254,0,254,0,254,0
2020-10-28T16:19:11+00:00,172,0,254,0,254,0,254,0
2020-10-28T16:19:31+00:00,254,0,254,0,254,0,254,0
2020-10-28T16:20:20+00:00,6,0,254,0,254,0,254,0
2020-10-28T16:20:25+00:00,4,0,254,0,254,0,254,0
2020-10-28T16:20:43+00:00,4,0,201,0,254,0,254,0
2020-10-28T16:20:59+00:00,4,0,254,0,254,0,254,0
2020-10-28T16:21:04+00:00,4,0,200,0,254,0,254,0
2020-10-28T16:21:20+00:00,4,0,254,0,254,0,254,0
2020-10-28T16:21:34+00:00,4,0,200,0,254,0,254,0
2020-10-28T16:21:50+00:00,4,0,254,0,254,0,254,0
2020-10-28T16:22:00+00:00,254,0,254,0,254,0,254,0
2020-10-28T16:23:09+00:00,4,0,254,0,254,0,254,0
2020-10-28T16:24:21+00:00,254,0,254,0,254,0,254,0
2020-10-28T16:33:56+00:00,4,0,254,0,254,0,254,0
2020-10-28T16:35:13+00:00,254,0,254,0,254,0,254,0
2020-10-28T16:36:17+00:00,254,0,201,0,254,0,254,0
2020-10-28T16:36:33+00:00,254,0,254,0,254,0,254,0
2020-10-28T16:37:35+00:00,254,0,200,0,254,0,254,0
2020-10-28T16:37:51+00:00,254,0,254,0,254,0,254,0
2020-10-28T16:37:52+00:00,254,0,201,0,254,0,254,0
2020-10-28T16:38:08+00:00,254,0,254,0,254,0,254,0
2020-10-28T16:38:28+00:00,254,0,200,0,254,0,254,0
2020-10-28T16:38:35+00:00,254,0,201,0,254,0,254,0
2020-10-28T16:38:51+00:00,254,0,254,0,254,0,254,0
2020-10-28T16:38:56+00:00,254,0,200,0,254,0,254,0
2020-10-28T16:39:12+00:00,254,0,254,0,254,0,254,0
2020-10-28T16:40:46+00:00,254,0,200,0,254,0,254,0
2020-10-28T16:41:02+00:00,254,0,254,0,254,0,254,0
2020-10-28T16:42:28+00:00,254,0,200,0,254,0,254,0
2020-10-28T16:42:37+00:00,4,0,200,0,254,0,254,0
2020-10-28T16:42:42+00:00,2,0,200,0,254,0,254,0
2020-10-28T16:42:58+00:00,2,0,254,0,254,0,254,0
2020-10-28T16:47:04+00:00,254,0,254,0,254,0,254,0
2020-10-28T16:47:20+00:00,6,0,200,0,254,0,254,0
2020-10-28T16:47:37+00:00,6,0,254,0,254,0,254,0
2020-10-28T16:47:42+00:00,64,0,254,0,254,0,254,0
2020-10-28T16:48:11+00:00,64,0,201,0,254,0,254,0
2020-10-28T16:48:27+00:00,64,0,254,0,254,0,254,0
2020-10-28T16:48:27+00:00,64,0,200,0,254,0,254,0
2020-10-28T16:48:41+00:00,20,0,200,0,254,0,254,0
2020-10-28T16:48:43+00:00,20,0,254,0,254,0,254,0
2020-10-28T16:49:35+00:00,20,0,201,0,254,0,254,0
2020-10-28T16:49:51+00:00,20,0,254,0,254,0,254,0
2020-10-28T16:50:12+00:00,20,0,200,0,254,0,254,0
2020-10-28T16:50:19+00:00,20,0,201,0,254,0,254,0
2020-10-28T16:50:35+00:00,20,0,254,0,254,0,254,0
2020-10-28T16:51:15+00:00,20,0,200,0,254,0,254,0
2020-10-28T16:51:27+00:00,20,0,201,0,254,0,254,0
2020-10-28T16:51:47+00:00,20,0,254,0,254,0,254,0
2020-10-28T16:52:01+00:00,254,0,254,0,254,0,254,0
2020-10-28T16:52:07+00:00,254,0,200,0,254,0,254,0
2020-10-28T16:52:23+00:00,254,0,254,0,254,0,254,0
2020-10-28T16:53:03+00:00,4,0,254,0,254,0,254,0
2020-10-28T16:53:29+00:00,4,0,201,0,254,0,254,0
2020-10-28T16:53:45+00:00,4,0,254,0,254,0,254,0
2020-10-28T16:54:28+00:00,4,0,200,0,254,0,254,0
2020-10-28T16:55:08+00:00,4,0,254,0,254,0,254,0
2020-10-28T16:55:11+00:00,4,0,201,0,254,0,254,0
2020-10-28T16:55:27+00:00,4,0,254,0,254,0,254,0
2020-10-28T16:55:39+00:00,4,0,200,0,254,0,254,0
2020-10-28T16:55:55+00:00,4,0,254,0,254,0,254,0
2020-10-28T16:56:30+00:00,254,0,254,0,254,0,254,0
2020-10-28T16:56:31+00:00,254,0,201,0,254,0,254,0
2020-10-28T16:56:47+00:00,254,0,254,0,254,0,254,0
2020-10-28T16:57:14+00:00,254,0,200,0,254,0,254,0
2020-10-28T16:57:30+00:00,254,0,254,0,254,0,254,0
2020-10-28T16:57:31+00:00,4,0,254,0,254,0,254,0
2020-10-28T16:58:14+00:00,4,0,200,0,254,0,254,0
2020-10-28T16:58:30+00:00,4,0,254,0,254,0,254,0
2020-10-28T16:59:25+00:00,64,0,254,0,254,0,254,0
2020-10-28T16:59:42+00:00,254,0,254,0,254,0,254,0
2020-10-28T16:59:47+00:00,4,0,254,0,254,0,254,0
2020-10-28T17:00:42+00:00,254,0,254,0,254,0,254,0
2020-10-28T17:06:39+00:00,171,0,254,0,254,0,254,0
