ts,error_code,error_available,failsafe,fcw,hw_level,hw_measurement,hw_repeatable,hw_valid,hmw,ldw,ldw_left,ldw_off,ldw_right,maintenance_error,pcw,pedestrian_dz,sound_type,tamper,time_indicator,tsr_level,tsr_on,zero_speed
2020-10-29T15:11:02.285527+00:00,0,False,False,False,0,0.0,False,False,False,False,False,True,False,False,False,False,0,False,day,0,True,False
2020-10-29T15:11:04.647717+00:00,0,False,False,False,1,0.0,False,True,False,False,False,True,False,False,False,False,0,False,day,0,True,False
2020-10-29T15:11:10.857816+00:00,0,False,False,False,0,0.0,False,False,False,False,False,True,False,False,False,False,0,False,day,0,True,False
2020-10-29T15:11:14.030221+00:00,0,False,False,False,0,0.0,False,False,False,False,False,True,False,False,False,False,0,False,day,0,True,True
2020-10-29T15:11:25.438778+00:00,0,False,False,False,0,0.0,False,False,False,False,False,True,False,False,False,False,0,False,day,0,True,False
2020-10-29T15:11:25.843786+00:00,0,False,False,False,1,0.0,False,True,False,False,False,True,False,False,False,False,0,False,day,0,True,False
2020-10-29T15:11:28.274010+00:00,0,False,False,False,0,0.0,False,False,False,False,False,True,False,False,False,False,0,False,day,0,True,False
2020-10-29T15:11:34.416818+00:00,0,False,False,False,0,0.0,False,False,False,False,False,True,False,False,False,False,0,False,day,0,True,True
2020-10-29T15:11:37.319546+00:00,0,False,False,False,0,0.0,False,False,False,False,False,True,False,False,False,False,0,False,day,0,True,False
2020-10-29T15:12:16.335988+00:00,0,False,False,False,1,0.0,False,True,False,False,False,True,False,False,False,False,0,False,day,0,True,False
2020-10-29T15:12:18.091044+00:00,0,False,False,False,0,0.0,False,False,False,False,False,True,False,False,False,False,0,False,day,0,True,False
2020-10-29T15:12:19.576059+00:00,0,False,False,False,1,0.0,False,True,False,False,False,True,False,False,False,False,0,False,day,0,True,False
2020-10-29T15:12:21.331115+00:00,0,False,False,False,0,0.0,False,False,False,False,False,True,False,False,False,False,0,False,day,0,True,False
2020-10-29T15:13:03.722060+00:00,0,False,False,False,0,0.0,False,False,False,False,False,True,False,False,False,False,0,False,day,0,True,False
2020-10-29T15:13:03.789661+00:00,0,False,False,False,0,0.0,False,False,False,False,False,True,False,False,False,False,0,False,day,0,True,False
2020-10-29T15:13:08.852240+00:00,0,False,False,False,0,0.0,False,False,False,False,False,False,False,False,False,False,0,False,day,0,True,False
2020-10-29T15:13:23.499927+00:00,0,False,False,False,0,0.0,False,False,False,False,False,True,False,False,False,False,0,False,day,0,True,False
2020-10-29T15:13:23.702412+00:00,0,False,False,False,0,0.0,False,False,False,False,False,False,False,False,False,False,0,False,day,0,True,False
2020-10-29T15:13:37.202896+00:00,0,False,False,False,0,0.0,False,False,False,False,False,True,False,False,False,False,0,False,day,0,True,False
2020-10-29T15:13:37.608002+00:00,0,False,False,False,0,0.0,False,False,False,False,False,False,False,False,False,False,0,False,day,0,True,False
2020-10-29T15:13:59.141042+00:00,0,False,False,False,0,0.0,False,False,False,False,False,True,False,False,False,False,0,False,day,0,True,False
2020-10-29T15:14:00.153571+00:00,0,False,False,False,0,0.0,False,False,False,False,False,False,False,False,False,False,0,False,day,0,True,False
2020-10-29T15:14:39.507426+00:00,0,False,False,False,0,0.0,False,False,False,False,False,False,False,False,False,False,0,False,day,7,True,False
2020-10-29T15:14:39.709576+00:00,0,False,False,False,0,0.0,False,False,False,False,False,False,False,False,False,False,0,False,day,6,True,False
2020-10-29T15:14:40.519681+00:00,0,False,False,False,0,0.0,False,False,False,True,True,False,False,False,False,False,1,False,day,6,True,False
2020-10-29T15:14:40.587074+00:00,0,False,False,False,0,0.0,False,False,False,False,False,False,False,False,False,False,0,False,day,6,True,False
2020-10-29T15:14:40.722097+00:00,0,False,False,False,0,0.0,False,False,False,False,False,False,False,False,False,False,0,False,day,6,True,False
2020-10-29T15:14:41.059836+00:00,0,False,False,False,0,0.0,False,False,False,False,False,False,False,False,False,False,0,False,day,5,True,False
2020-10-29T15:14:42.072120+00:00,0,False,False,False,0,0.0,False,False,False,False,False,True,False,False,False,False,0,False,day,4,True,False
2020-10-29T15:14:43.017133+00:00,0,False,False,False,0,0.0,False,False,False,False,False,True,False,False,False,False,0,False,day,3,True,False
2020-10-29T15:14:43.894675+00:00,0,False,False,False,0,0.0,False,False,False,False,False,True,False,False,False,False,0,False,day,2,True,False
2020-10-29T15:14:44.772210+00:00,0,False,False,False,0,0.0,False,False,False,False,False,True,False,False,False,False,0,False,day,1,True,False
2020-10-29T15:14:45.649744+00:00,0,False,False,False,0,0.0,False,False,False,False,False,True,False,False,False,False,0,False,day,0,True,False
2020-10-29T15:15:25.003071+00:00,0,False,False,False,0,0.0,False,False,False,False,False,True,False,False,False,False,0,False,day,1,True,False
2020-10-29T15:15:26.285628+00:00,0,False,False,False,0,0.0,False,False,False,False,False,False,False,False,False,False,0,False,day,2,True,False
