ts,ts_fix,lat,lon,alt,hdg,spd
2020-11-03T06:55:30.585246+00:00,2020-11-03T06:55:33.000000Z,38.7433,-9.16511,0.0,12.5467,23.4432
2020-11-03T06:55:31.585292+00:00,2020-11-03T06:55:34.000000Z,38.7435,-9.1651,0.0,1.8,21.4776
2020-11-03T06:55:32.586221+00:00,2020-11-03T06:55:35.000000Z,38.7436,-9.1651,0.0,2.1046,24.0804
2020-11-03T06:55:33.586355+00:00,2020-11-03T06:55:36.000000Z,38.7436,-9.1651,0.0,2.4731,25.6752
2020-11-03T06:55:34.586732+00:00,2020-11-03T06:55:37.000000Z,38.7437,-9.1651,0.0,3.3726,24.6996
2020-11-03T06:55:35.586760+00:00,2020-11-03T06:55:38.000000Z,38.7437,-9.16509,0.0,3.3531,22.608
2020-11-03T06:55:36.586863+00:00,2020-11-03T06:55:39.000000Z,38.7437,-9.16509,0.0,3.8558,20.826
2020-11-03T06:55:37.587661+00:00,2020-11-03T06:55:40.000000Z,38.7437,-9.16509,0.0,2.6649,19.6164
2020-11-03T06:55:38.587818+00:00,2020-11-03T06:55:41.000000Z,38.7438,-9.16509,0.0,2.3767,20.4984
2020-11-03T06:55:39.588278+00:00,2020-11-03T06:55:42.000000Z,38.7438,-9.16509,0.0,2.5289,21.1896
2020-11-03T06:55:40.588533+00:00,2020-11-03T06:55:43.000000Z,38.7438,-9.16509,0.0,3.3451,21.8376
2020-11-03T06:55:41.588975+00:00,2020-11-03T06:55:44.000000Z,38.7438,-9.16509,0.0,3.4907,20.5704
2020-11-03T06:55:42.589534+00:00,2020-11-03T06:55:45.000000Z,38.7438,-9.16509,0.0,3.2949,19.3608
2020-11-03T06:55:43.589607+00:00,2020-11-03T06:55:46.000000Z,38.7438,-9.16509,0.0,2.9437,18.63
2020-11-03T06:55:44.589963+00:00,2020-11-03T06:55:47.000000Z,38.7438,-9.16509,0.0,2.4472,18.6768
2020-11-03T06:55:45.589990+00:00,2020-11-03T06:55:48.000000Z,38.7438,-9.16509,0.0,2.8119,17.892
2020-11-03T06:55:46.590108+00:00,2020-11-03T06:55:49.000000Z,38.7438,-9.16509,0.0,2.9627,18.0252
2020-11-03T06:55:47.590634+00:00,2020-11-03T06:55:50.000000Z,38.7438,-9.16509,0.0,2.3079,18.7776
2020-11-03T06:55:48.591530+00:00,2020-11-03T06:55:51.000000Z,38.7438,-9.16509,0.0,2.137,21.1068
2020-11-03T06:55:49.592307+00:00,2020-11-03T06:55:52.000000Z,38.7439,-9.16509,0.0,2.754,23.1552
2020-11-03T06:55:50.593095+00:00,2020-11-03T06:55:53.000000Z,38.7439,-9.16509,0.0,1.7199,22.3632
2020-11-03T06:55:51.593767+00:00,2020-11-03T06:55:54.000000Z,38.7439,-9.16509,0.0,2.1984,23.1156
2020-11-03T06:55:52.594235+00:00,2020-11-03T06:55:55.000000Z,38.7439,-9.16509,0.0,2.5811,23.814
2020-11-03T06:55:53.594912+00:00,2020-11-03T06:55:56.000000Z,38.7439,-9.16509,0.0,3.4836,23.4792
2020-11-03T06:55:54.595829+00:00,2020-11-03T06:55:57.000000Z,38.7439,-9.16509,0.0,2.8482,21.3084
2020-11-03T06:55:55.596402+00:00,2020-11-03T06:55:58.000000Z,38.7439,-9.16509,0.0,3.4356,20.2896
2020-11-03T06:55:56.597043+00:00,2020-11-03T06:55:59.000000Z,38.7439,-9.16509,0.0,2.7343,20.9448
2020-11-03T06:55:57.596864+00:00,2020-11-03T06:56:00.000000Z,38.7439,-9.16509,0.0,1.1808,20.556
2020-11-03T06:55:58.597554+00:00,2020-11-03T06:56:01.000000Z,38.7439,-9.1651,0.0,2.0138,21.582
2020-11-03T06:55:59.598012+00:00,2020-11-03T06:56:02.000000Z,38.7439,-9.1651,0.0,2.4327,22.0788
2020-11-03T06:56:00.598315+00:00,2020-11-03T06:56:03.000000Z,38.744,-9.1651,0.0,3.0069,23.724
2020-11-03T06:56:01.598609+00:00,2020-11-03T06:56:04.000000Z,38.7437,-9.16514,0.0,8.8077,0.0
2020-11-03T06:56:02.599639+00:00,2020-11-03T06:56:05.000000Z,38.7414,-9.16528,72.85,260.313,0.0
2020-11-03T06:56:03.600368+00:00,2020-11-03T06:56:06.000000Z,38.7414,-9.16526,73.793,232.724,0.0
2020-11-03T06:56:04.601168+00:00,2020-11-03T06:56:07.000000Z,38.7414,-9.16525,73.245,347.814,0.0
2020-11-03T06:56:05.601183+00:00,2020-11-03T06:56:08.000000Z,38.7414,-9.16524,73.255,350.236,0.0
2020-11-03T06:56:06.601506+00:00,2020-11-03T06:56:09.000000Z,38.7414,-9.16524,73.841,13.9173,0.0
2020-11-03T06:56:07.602257+00:00,2020-11-03T06:56:07.000000Z,38.7414,-9.16523,73.269,23.535,0.0
2020-11-03T06:56:08.602708+00:00,2020-11-03T06:56:08.000000Z,38.7414,-9.16524,72.809,335.964,0.0
2020-11-03T06:56:09.603781+00:00,2020-11-03T06:56:09.000000Z,38.7414,-9.16525,72.975,315.383,0.0
2020-11-03T06:56:10.604086+00:00,2020-11-03T06:56:10.000000Z,38.7414,-9.16525,71.488,299.501,0.0
2020-11-03T06:56:11.605224+00:00,2020-11-03T06:56:11.000000Z,38.7414,-9.16526,68.868,298.716,0.0
2020-11-03T06:56:12.605180+00:00,2020-11-03T06:56:12.000000Z,38.7413,-9.16528,61.622,237.388,7.5744
2020-11-03T06:56:13.605788+00:00,2020-11-03T06:56:13.000000Z,38.7413,-9.16528,57.26,271.112,0.0
2020-11-03T06:56:14.606028+00:00,2020-11-03T06:56:14.000000Z,38.7413,-9.16528,54.952,317.7,0.0
2020-11-03T06:56:15.606610+00:00,2020-11-03T06:56:15.000000Z,38.7413,-9.16528,52.349,330.283,0.0
2020-11-03T06:56:16.607139+00:00,2020-11-03T06:56:16.000000Z,38.7413,-9.16527,48.84,354.988,0.0
2020-11-03T06:56:17.608024+00:00,2020-11-03T06:56:17.000000Z,38.7413,-9.16527,45.752,339.622,0.0
2020-11-03T06:56:18.609159+00:00,2020-11-03T06:56:18.000000Z,38.7413,-9.16527,42.98,317.817,0.0
2020-11-03T06:56:19.609751+00:00,2020-11-03T06:56:19.000000Z,38.7413,-9.16528,41.58,248.46,0.0
2020-11-03T06:56:20.610907+00:00,2020-11-03T06:56:20.000000Z,38.7413,-9.16529,40.459,236.235,0.0
2020-11-03T06:56:21.611022+00:00,2020-11-03T06:56:21.000000Z,38.7413,-9.16529,40.849,229.24,0.0
2020-11-03T06:56:22.611800+00:00,2020-11-03T06:56:22.000000Z,38.7413,-9.16531,43.453,260.54,8.1288
2020-11-03T06:56:23.612548+00:00,2020-11-03T06:56:23.000000Z,38.7413,-9.16531,47.853,325.248,0.0
2020-11-03T06:56:24.612950+00:00,2020-11-03T06:56:24.000000Z,38.7414,-9.1653,51.687,348.361,6.2676
2020-11-03T06:56:25.613483+00:00,2020-11-03T06:56:25.000000Z,38.7414,-9.16529,52.916,359.857,8.3196
2020-11-03T06:56:26.613846+00:00,2020-11-03T06:56:26.000000Z,38.7414,-9.16529,55.076,344.368,7.434
2020-11-03T06:56:27.614425+00:00,2020-11-03T06:56:27.000000Z,38.7414,-9.16528,56.006,0.9616,9.828
2020-11-03T06:56:28.615384+00:00,2020-11-03T06:56:28.000000Z,38.7415,-9.16528,57.318,1.9201,9.8172
2020-11-03T06:56:29.615944+00:00,2020-11-03T06:56:29.000000Z,38.7415,-9.16527,58.198,4.054,8.7876
2020-11-03T06:56:30.616643+00:00,2020-11-03T06:56:30.000000Z,38.7415,-9.16527,59.287,2.435,8.604
2020-11-03T06:56:31.617351+00:00,2020-11-03T06:56:31.000000Z,38.7416,-9.16525,66.536,4.9046,0.0
2020-11-03T06:56:32.617730+00:00,2020-11-03T06:56:32.000000Z,38.7416,-9.16524,70.174,336.586,0.0
2020-11-03T06:56:33.618695+00:00,2020-11-03T06:56:33.000000Z,38.7416,-9.16524,71.885,300.296,0.0
2020-11-03T06:56:34.618696+00:00,2020-11-03T06:56:34.000000Z,38.7416,-9.16523,73.601,281.697,0.0
2020-11-03T06:56:35.619727+00:00,2020-11-03T06:56:35.000000Z,38.7416,-9.16524,74.594,283.23,0.0
2020-11-03T06:56:36.620232+00:00,2020-11-03T06:56:36.000000Z,38.7416,-9.16525,74.224,293.526,0.0
2020-11-03T06:56:37.621387+00:00,2020-11-03T06:56:37.000000Z,38.7416,-9.16527,74.562,277.695,6.7572
2020-11-03T06:56:38.622458+00:00,2020-11-03T06:56:38.000000Z,38.7416,-9.16529,75.045,291.383,8.874
2020-11-03T06:56:39.623512+00:00,2020-11-03T06:56:39.000000Z,38.7416,-9.16531,77.147,289.454,8.1072
2020-11-03T06:56:40.623529+00:00,2020-11-03T06:56:40.000000Z,38.7416,-9.16533,73.407,286.064,7.8012
2020-11-03T06:56:41.624543+00:00,2020-11-03T06:56:41.000000Z,38.7416,-9.16535,72.293,275.543,5.976
2020-11-03T06:56:42.625330+00:00,2020-11-03T06:56:42.000000Z,38.7416,-9.16536,71.462,256.728,5.7204
2020-11-03T06:56:43.625843+00:00,2020-11-03T06:56:43.000000Z,38.7416,-9.16537,71.261,287.409,4.4424
2020-11-03T06:56:44.626826+00:00,2020-11-03T06:56:44.000000Z,38.7416,-9.16538,71.806,309.358,4.6368
2020-11-03T06:56:45.626916+00:00,2020-11-03T06:56:45.000000Z,38.7416,-9.1654,73.307,290.257,4.6152
2020-11-03T06:56:46.627282+00:00,2020-11-03T06:56:46.000000Z,38.7416,-9.16541,74.101,306.899,0.0
2020-11-03T06:56:47.627455+00:00,2020-11-03T06:56:47.000000Z,38.7416,-9.16542,75.447,344.332,0.0
2020-11-03T06:56:48.628510+00:00,2020-11-03T06:56:48.000000Z,38.7417,-9.16542,76.89,357.682,0.0
