ts,tsr_1_speed,tsr_1_sup,tsr_2_speed,tsr_2_sup,tsr_3_speed,tsr_3_sup,tsr_4_speed,tsr_4_sup
2020-10-29T15:14:39+00:00,3,0,254,0,254,0,254,0
2020-10-29T15:14:59+00:00,5,0,254,0,254,0,254,0
2020-10-29T15:15:11+00:00,254,0,254,0,254,0,254,0
2020-10-29T15:15:21+00:00,5,0,254,0,254,0,254,0
2020-10-29T15:15:26+00:00,173,0,254,0,254,0,254,0
2020-10-29T15:15:34+00:00,64,0,254,0,254,0,254,0
2020-10-29T15:15:38+00:00,7,0,254,0,254,0,254,0
2020-10-29T15:15:48+00:00,8,0,254,0,254,0,254,0
2020-10-29T15:15:52+00:00,8,0,6,6,254,0,254,0
2020-10-29T15:16:07+00:00,8,0,254,0,254,0,254,0
2020-10-29T15:16:23+00:00,173,0,254,0,254,0,254,0
2020-10-29T15:16:27+00:00,20,0,254,0,254,0,254,0
2020-10-29T15:16:30+00:00,8,0,254,0,254,0,254,0
2020-10-29T15:17:21+00:00,64,0,254,0,254,0,254,0
2020-10-29T15:19:22+00:00,7,0,254,0,254,0,254,0
2020-10-29T15:20:36+00:00,254,0,254,0,254,0,254,0
