ts,tsr_1_speed,tsr_1_sup,tsr_2_speed,tsr_2_sup,tsr_3_speed,tsr_3_sup,tsr_4_speed,tsr_4_sup
2020-11-03T15:23:13+00:00,2,0,254,0,254,0,254,0
2020-11-03T15:24:26+00:00,254,0,254,0,254,0,254,0
2020-11-03T15:25:50+00:00,3,0,254,0,254,0,254,0
2020-11-03T15:26:04+00:00,254,0,254,0,254,0,254,0
2020-11-03T15:26:31+00:00,171,0,254,0,254,0,254,0
2020-11-03T15:26:37+00:00,7,0,254,0,254,0,254,0
2020-11-03T15:26:38+00:00,7,0,6,6,254,0,254,0
2020-11-03T15:26:52+00:00,7,0,200,0,6,6,254,0
2020-11-03T15:26:54+00:00,7,0,200,0,254,0,254,0
2020-11-03T15:27:08+00:00,7,0,254,0,254,0,254,0
2020-11-03T15:27:58+00:00,64,0,254,0,254,0,254,0
2020-11-03T15:28:11+00:00,11,0,254,0,254,0,254,0
2020-11-03T15:30:34+00:00,64,0,254,0,254,0,254,0
2020-11-03T15:30:37+00:00,11,0,254,0,254,0,254,0
2020-11-03T15:31:28+00:00,11,0,9,6,254,0,254,0
2020-11-03T15:31:32+00:00,11,0,7,6,254,0,254,0
2020-11-03T15:31:34+00:00,11,0,5,6,254,0,254,0
2020-11-03T15:31:50+00:00,11,0,254,0,254,0,254,0
2020-11-03T15:32:46+00:00,64,0,254,0,254,0,254,0
2020-11-03T15:32:50+00:00,11,0,254,0,254,0,254,0
2020-11-03T15:32:53+00:00,32,0,254,0,254,0,254,0
2020-11-03T15:33:12+00:00,254,0,254,0,254,0,254,0
2020-11-03T15:34:05+00:00,254,0,7,6,254,0,254,0
2020-11-03T15:34:21+00:00,254,0,254,0,254,0,254,0
2020-11-03T15:36:07+00:00,9,0,254,0,254,0,254,0
2020-11-03T15:36:13+00:00,7,0,254,0,254,0,254,0
2020-11-03T15:36:57+00:00,11,0,254,0,254,0,254,0
2020-11-03T15:37:15+00:00,5,0,254,0,254,0,254,0
2020-11-03T15:37:29+00:00,64,0,254,0,254,0,254,0
2020-11-03T15:37:30+00:00,11,0,254,0,254,0,254,0
2020-11-03T15:43:02+00:00,64,0,254,0,254,0,254,0
2020-11-03T15:43:06+00:00,11,0,254,0,254,0,254,0
2020-11-03T15:49:36+00:00,254,0,254,0,254,0,254,0
2020-11-03T15:52:42+00:00,254,0,7,6,254,0,254,0
2020-11-03T15:52:49+00:00,254,0,200,0,7,6,254,0
2020-11-03T15:52:58+00:00,254,0,200,0,254,0,254,0
2020-11-03T15:53:05+00:00,254,0,254,0,254,0,254,0
2020-11-03T15:53:24+00:00,11,0,254,0,254,0,254,0
2020-11-03T15:54:53+00:00,64,0,254,0,254,0,254,0
2020-11-03T15:55:01+00:00,11,0,254,0,254,0,254,0
2020-11-03T15:58:56+00:00,11,0,7,6,254,0,254,0
2020-11-03T15:59:01+00:00,11,0,5,6,254,0,254,0
2020-11-03T15:59:01+00:00,11,0,200,0,5,6,254,0
2020-11-03T15:59:07+00:00,3,0,200,0,5,6,254,0
2020-11-03T15:59:17+00:00,3,0,200,0,254,0,254,0
2020-11-03T15:59:17+00:00,3,0,254,0,254,0,254,0
2020-11-03T16:00:08+00:00,64,0,254,0,254,0,254,0
2020-11-03T16:00:10+00:00,11,0,254,0,254,0,254,0
2020-11-03T16:00:58+00:00,9,0,254,0,254,0,254,0
2020-11-03T16:01:57+00:00,64,0,254,0,254,0,254,0
2020-11-03T16:01:59+00:00,11,0,254,0,254,0,254,0
2020-11-03T16:04:10+00:00,11,0,7,6,254,0,254,0
2020-11-03T16:04:18+00:00,11,0,200,0,7,6,254,0
2020-11-03T16:04:26+00:00,11,0,200,0,254,0,254,0
2020-11-03T16:04:34+00:00,11,0,254,0,254,0,254,0
2020-11-03T16:04:42+00:00,64,0,254,0,254,0,254,0
2020-11-03T16:04:45+00:00,11,0,254,0,254,0,254,0
2020-11-03T16:05:09+00:00,11,0,7,6,254,0,254,0
2020-11-03T16:05:25+00:00,11,0,254,0,254,0,254,0
2020-11-03T16:05:37+00:00,11,0,7,6,254,0,254,0
2020-11-03T16:05:39+00:00,11,0,200,0,5,6,254,0
2020-11-03T16:05:45+00:00,7,0,201,0,5,6,254,0
2020-11-03T16:05:55+00:00,7,0,201,0,254,0,254,0
2020-11-03T16:06:01+00:00,7,0,254,0,254,0,254,0
2020-11-03T16:06:15+00:00,20,0,254,0,254,0,254,0
2020-11-03T16:06:52+00:00,20,0,7,6,254,0,254,0
2020-11-03T16:07:07+00:00,20,0,5,6,254,0,254,0
2020-11-03T16:07:10+00:00,3,0,5,6,254,0,254,0
2020-11-03T16:07:13+00:00,3,0,254,0,254,0,254,0
2020-11-03T16:07:18+00:00,254,0,254,0,254,0,254,0
2020-11-03T16:07:37+00:00,3,0,254,0,254,0,254,0
2020-11-03T16:07:37+00:00,3,0,200,0,254,0,254,0
2020-11-03T16:07:50+00:00,4,0,200,0,254,0,254,0
2020-11-03T16:07:53+00:00,4,0,254,0,254,0,254,0
2020-11-03T16:08:53+00:00,254,0,254,0,254,0,254,0
2020-11-03T16:18:52+00:00,4,0,254,0,254,0,254,0
2020-11-03T16:19:16+00:00,6,0,254,0,254,0,254,0
2020-11-03T16:19:39+00:00,254,0,254,0,254,0,254,0
2020-11-03T16:20:02+00:00,64,0,254,0,254,0,254,0
2020-11-03T16:20:05+00:00,11,0,254,0,254,0,254,0
2020-11-03T16:20:37+00:00,9,0,254,0,254,0,254,0
2020-11-03T16:20:49+00:00,7,0,254,0,254,0,254,0
2020-11-03T16:21:06+00:00,5,0,254,0,254,0,254,0
2020-11-03T16:21:28+00:00,64,0,254,0,254,0,254,0
2020-11-03T16:21:31+00:00,11,0,254,0,254,0,254,0
