ts,tsr_1_speed,tsr_1_sup,tsr_2_speed,tsr_2_sup,tsr_3_speed,tsr_3_sup,tsr_4_speed,tsr_4_sup
2020-10-27T18:34:29+00:00,5,0,254,0,254,0,254,0
2020-10-27T18:35:07+00:00,64,0,254,0,254,0,254,0
2020-10-27T18:35:24+00:00,5,0,200,0,254,0,254,0
2020-10-27T18:35:32+00:00,64,0,254,0,254,0,254,0
2020-10-27T18:36:01+00:00,7,0,254,0,254,0,254,0
2020-10-27T18:36:06+00:00,5,0,254,0,254,0,254,0
2020-10-27T18:36:11+00:00,3,0,200,0,254,0,254,0
2020-10-27T18:36:27+00:00,3,0,254,0,254,0,254,0
2020-10-27T18:37:29+00:00,254,0,254,0,254,0,254,0
2020-10-27T18:38:24+00:00,7,0,254,0,254,0,254,0
2020-10-27T18:38:38+00:00,6,0,200,0,254,0,254,0
2020-10-27T18:38:54+00:00,6,0,254,0,254,0,254,0
2020-10-27T18:39:04+00:00,6,0,201,0,254,0,254,0
2020-10-27T18:39:20+00:00,6,0,254,0,254,0,254,0
2020-10-27T18:39:20+00:00,6,0,200,0,254,0,254,0
2020-10-27T18:39:22+00:00,4,0,200,0,254,0,254,0
2020-10-27T18:39:31+00:00,20,0,200,0,254,0,254,0
2020-10-27T18:39:36+00:00,20,0,254,0,254,0,254,0
2020-10-27T18:39:53+00:00,20,0,200,0,254,0,254,0
2020-10-27T18:40:09+00:00,20,0,254,0,254,0,254,0
2020-10-27T18:40:10+00:00,4,0,254,0,254,0,254,0
2020-10-27T18:40:40+00:00,4,0,201,0,254,0,254,0
2020-10-27T18:40:49+00:00,4,0,200,0,254,0,254,0
2020-10-27T18:41:05+00:00,4,0,254,0,254,0,254,0
2020-10-27T18:41:08+00:00,4,0,201,0,254,0,254,0
2020-10-27T18:41:24+00:00,4,0,254,0,254,0,254,0
2020-10-27T18:41:38+00:00,4,0,200,0,254,0,254,0
2020-10-27T18:41:54+00:00,4,0,254,0,254,0,254,0
2020-10-27T18:41:56+00:00,4,0,201,0,254,0,254,0
2020-10-27T18:42:10+00:00,254,0,201,0,254,0,254,0
2020-10-27T18:42:12+00:00,254,0,254,0,254,0,254,0
2020-10-27T18:42:32+00:00,254,0,200,0,254,0,254,0
2020-10-27T18:42:36+00:00,4,0,200,0,254,0,254,0
2020-10-27T18:42:48+00:00,4,0,254,0,254,0,254,0
2020-10-27T18:43:28+00:00,4,0,201,0,254,0,254,0
2020-10-27T18:43:44+00:00,4,0,254,0,254,0,254,0
2020-10-27T18:43:56+00:00,4,0,200,0,254,0,254,0
2020-10-27T18:44:12+00:00,4,0,254,0,254,0,254,0
2020-10-27T18:45:14+00:00,254,0,254,0,254,0,254,0
2020-10-27T18:48:56+00:00,2,0,254,0,254,0,254,0
2020-10-27T18:49:15+00:00,6,0,254,0,254,0,254,0
2020-10-27T18:49:17+00:00,4,0,254,0,254,0,254,0
2020-10-27T18:49:40+00:00,6,0,254,0,254,0,254,0
2020-10-27T18:50:55+00:00,254,0,254,0,254,0,254,0
2020-10-27T18:57:55+00:00,4,0,254,0,254,0,254,0
2020-10-27T18:57:59+00:00,4,0,201,0,254,0,254,0
2020-10-27T18:58:15+00:00,4,0,254,0,254,0,254,0
2020-10-27T18:58:15+00:00,4,0,200,0,254,0,254,0
2020-10-27T18:58:31+00:00,4,0,254,0,254,0,254,0
2020-10-27T18:59:16+00:00,4,0,200,0,254,0,254,0
2020-10-27T18:59:31+00:00,254,0,200,0,254,0,254,0
2020-10-27T18:59:32+00:00,254,0,254,0,254,0,254,0
2020-10-27T19:00:14+00:00,254,0,201,0,254,0,254,0
2020-10-27T19:00:30+00:00,254,0,254,0,254,0,254,0
2020-10-27T19:00:45+00:00,254,0,200,0,254,0,254,0
2020-10-27T19:01:01+00:00,254,0,254,0,254,0,254,0
2020-10-27T19:02:01+00:00,254,0,201,0,254,0,254,0
2020-10-27T19:02:17+00:00,254,0,254,0,254,0,254,0
2020-10-27T19:02:42+00:00,254,0,200,0,254,0,254,0
2020-10-27T19:02:58+00:00,254,0,254,0,254,0,254,0
2020-10-27T19:03:54+00:00,254,0,201,0,254,0,254,0
2020-10-27T19:04:10+00:00,254,0,254,0,254,0,254,0
2020-10-27T19:04:35+00:00,254,0,200,0,254,0,254,0
2020-10-27T19:04:50+00:00,254,0,201,0,254,0,254,0
2020-10-27T19:05:06+00:00,254,0,254,0,254,0,254,0
2020-10-27T19:05:24+00:00,254,0,200,0,254,0,254,0
2020-10-27T19:05:28+00:00,254,0,201,0,254,0,254,0
2020-10-27T19:05:44+00:00,254,0,254,0,254,0,254,0
2020-10-27T19:06:02+00:00,254,0,200,0,254,0,254,0
2020-10-27T19:06:18+00:00,254,0,254,0,254,0,254,0
2020-10-27T19:06:52+00:00,6,0,254,0,254,0,254,0
2020-10-27T19:07:01+00:00,6,0,201,0,254,0,254,0
2020-10-27T19:07:17+00:00,6,0,254,0,254,0,254,0
2020-10-27T19:07:17+00:00,6,0,200,0,254,0,254,0
2020-10-27T19:07:33+00:00,6,0,254,0,254,0,254,0
2020-10-27T19:07:55+00:00,4,0,254,0,254,0,254,0
2020-10-27T19:08:02+00:00,2,0,254,0,254,0,254,0
2020-10-27T19:08:02+00:00,2,0,200,0,254,0,254,0
2020-10-27T19:08:18+00:00,2,0,254,0,254,0,254,0
2020-10-27T19:10:05+00:00,254,0,254,0,254,0,254,0
2020-10-27T19:10:32+00:00,64,0,254,0,254,0,254,0
2020-10-27T19:10:36+00:00,64,0,201,0,254,0,254,0
2020-10-27T19:10:52+00:00,64,0,254,0,254,0,254,0
2020-10-27T19:11:35+00:00,254,0,254,0,254,0,254,0
2020-10-27T19:11:49+00:00,254,0,201,0,254,0,254,0
2020-10-27T19:12:06+00:00,254,0,254,0,254,0,254,0
2020-10-27T19:13:32+00:00,254,0,200,0,254,0,254,0
2020-10-27T19:13:45+00:00,254,0,201,0,254,0,254,0
2020-10-27T19:13:58+00:00,254,0,200,0,254,0,254,0
2020-10-27T19:14:05+00:00,254,0,201,0,254,0,254,0
2020-10-27T19:14:21+00:00,254,0,254,0,254,0,254,0
2020-10-27T19:14:32+00:00,254,0,200,0,254,0,254,0
2020-10-27T19:14:48+00:00,254,0,254,0,254,0,254,0
2020-10-27T19:15:12+00:00,254,0,200,0,254,0,254,0
2020-10-27T19:15:28+00:00,254,0,254,0,254,0,254,0
2020-10-27T19:15:47+00:00,254,0,201,0,254,0,254,0
2020-10-27T19:15:59+00:00,4,0,201,0,254,0,254,0
2020-10-27T19:16:03+00:00,4,0,254,0,254,0,254,0
2020-10-27T19:17:21+00:00,2,0,254,0,254,0,254,0
2020-10-27T19:18:49+00:00,254,0,254,0,254,0,254,0
2020-10-27T19:19:54+00:00,4,0,254,0,254,0,254,0
2020-10-27T19:20:29+00:00,254,0,254,0,254,0,254,0
2020-10-27T19:20:46+00:00,6,0,254,0,254,0,254,0
2020-10-27T19:21:15+00:00,254,0,254,0,254,0,254,0
2020-10-27T19:26:17+00:00,4,0,254,0,254,0,254,0
2020-10-27T19:26:33+00:00,254,0,254,0,254,0,254,0
2020-10-27T19:27:06+00:00,4,0,254,0,254,0,254,0
2020-10-27T19:27:53+00:00,254,0,254,0,254,0,254,0
2020-10-27T19:28:52+00:00,254,0,201,0,254,0,254,0
2020-10-27T19:29:08+00:00,254,0,254,0,254,0,254,0
2020-10-27T19:29:14+00:00,254,0,200,0,254,0,254,0
2020-10-27T19:29:30+00:00,254,0,254,0,254,0,254,0
2020-10-27T19:30:07+00:00,6,0,254,0,254,0,254,0
2020-10-27T19:30:40+00:00,254,0,254,0,254,0,254,0
2020-10-27T19:30:43+00:00,171,0,254,0,254,0,254,0
2020-10-27T19:30:54+00:00,5,0,254,0,254,0,254,0
2020-10-27T19:31:24+00:00,5,0,200,0,254,0,254,0
2020-10-27T19:31:40+00:00,5,0,254,0,254,0,254,0
2020-10-27T19:31:49+00:00,64,0,254,0,254,0,254,0
2020-10-27T19:32:24+00:00,11,0,254,0,254,0,254,0
2020-10-27T19:34:45+00:00,254,0,254,0,254,0,254,0
2020-10-27T19:35:41+00:00,11,0,254,0,254,0,254,0
2020-10-27T19:37:42+00:00,64,0,254,0,254,0,254,0
2020-10-27T19:37:45+00:00,11,0,254,0,254,0,254,0
2020-10-27T19:41:58+00:00,11,0,7,6,254,0,254,0
2020-10-27T19:42:04+00:00,9,0,7,6,254,0,254,0
2020-10-27T19:42:14+00:00,9,0,254,0,254,0,254,0
2020-10-27T19:42:24+00:00,64,0,254,0,254,0,254,0
2020-10-27T19:42:28+00:00,11,0,11,20,254,0,254,0
2020-10-27T19:42:44+00:00,11,0,254,0,254,0,254,0
2020-10-27T19:43:20+00:00,11,0,7,6,254,0,254,0
2020-10-27T19:43:24+00:00,11,0,200,0,7,6,254,0
2020-10-27T19:43:36+00:00,11,0,200,0,254,0,254,0
2020-10-27T19:43:40+00:00,64,0,254,0,254,0,254,0
2020-10-27T19:43:43+00:00,11,0,254,0,254,0,254,0
2020-10-27T19:45:06+00:00,11,0,7,6,254,0,254,0
2020-10-27T19:45:22+00:00,11,0,254,0,254,0,254,0
2020-10-27T19:45:32+00:00,20,0,254,0,254,0,254,0
2020-10-27T19:45:38+00:00,64,0,254,0,254,0,254,0
2020-10-27T19:45:41+00:00,9,0,254,0,254,0,254,0
2020-10-27T19:47:49+00:00,9,0,7,6,254,0,254,0
2020-10-27T19:48:05+00:00,9,0,254,0,254,0,254,0
2020-10-27T19:48:25+00:00,64,0,254,0,254,0,254,0
2020-10-27T19:48:26+00:00,7,0,254,0,254,0,254,0
2020-10-27T19:48:31+00:00,5,0,254,0,254,0,254,0
