ts,tsr_1_speed,tsr_1_sup,tsr_2_speed,tsr_2_sup,tsr_3_speed,tsr_3_sup,tsr_4_speed,tsr_4_sup
2020-11-03T07:31:48+00:00,1,0,254,0,254,0,254,0
2020-11-03T07:49:04+00:00,254,0,254,0,254,0,254,0
2020-11-03T07:51:35+00:00,7,0,254,0,254,0,254,0
2020-11-03T07:53:29+00:00,64,0,254,0,254,0,254,0
2020-11-03T07:53:55+00:00,64,0,6,6,254,0,254,0
2020-11-03T07:54:04+00:00,8,0,6,6,254,0,254,0
2020-11-03T07:54:10+00:00,8,0,254,0,254,0,254,0
2020-11-03T07:55:22+00:00,173,0,254,0,254,0,254,0
2020-11-03T07:55:30+00:00,7,0,254,0,254,0,254,0
2020-11-03T07:56:06+00:00,8,0,254,0,254,0,254,0
2020-11-03T07:56:12+00:00,64,0,254,0,254,0,254,0
2020-11-03T07:56:44+00:00,8,0,254,0,254,0,254,0
2020-11-03T07:56:48+00:00,6,0,254,0,254,0,254,0
2020-11-03T07:57:02+00:00,4,0,254,0,254,0,254,0
2020-11-03T07:57:56+00:00,5,0,254,0,254,0,254,0
2020-11-03T07:58:10+00:00,7,0,254,0,254,0,254,0
2020-11-03T07:58:41+00:00,7,0,5,6,254,0,254,0
2020-11-03T07:58:46+00:00,5,0,200,0,5,6,254,0
2020-11-03T07:58:56+00:00,3,0,200,0,5,6,254,0
2020-11-03T07:58:57+00:00,3,0,200,0,254,0,254,0
2020-11-03T07:59:03+00:00,3,0,254,0,254,0,254,0
2020-11-03T07:59:32+00:00,171,0,254,0,254,0,254,0
2020-11-03T07:59:44+00:00,64,0,254,0,254,0,254,0
2020-11-03T08:01:14+00:00,9,0,254,0,254,0,254,0
2020-11-03T08:01:25+00:00,7,0,254,0,254,0,254,0
2020-11-03T08:01:50+00:00,11,0,254,0,254,0,254,0
2020-11-03T08:02:10+00:00,11,0,7,6,254,0,254,0
2020-11-03T08:02:18+00:00,11,0,200,0,7,6,254,0
2020-11-03T08:02:26+00:00,11,0,200,0,254,0,254,0
2020-11-03T08:02:34+00:00,11,0,254,0,254,0,254,0
2020-11-03T08:02:48+00:00,64,0,254,0,254,0,254,0
2020-11-03T08:02:54+00:00,11,0,254,0,254,0,254,0
2020-11-03T08:05:27+00:00,11,0,7,6,254,0,254,0
2020-11-03T08:05:43+00:00,11,0,254,0,254,0,254,0
2020-11-03T08:06:01+00:00,64,0,254,0,254,0,254,0
2020-11-03T08:06:03+00:00,11,0,254,0,254,0,254,0
2020-11-03T08:07:06+00:00,11,0,7,6,254,0,254,0
2020-11-03T08:07:22+00:00,11,0,254,0,254,0,254,0
2020-11-03T08:07:37+00:00,64,0,254,0,254,0,254,0
2020-11-03T08:07:42+00:00,11,0,254,0,254,0,254,0
2020-11-03T08:08:04+00:00,9,0,254,0,254,0,254,0
2020-11-03T08:08:23+00:00,9,0,7,6,254,0,254,0
2020-11-03T08:08:39+00:00,9,0,254,0,254,0,254,0
2020-11-03T08:08:50+00:00,64,0,254,0,254,0,254,0
2020-11-03T08:08:52+00:00,11,0,254,0,254,0,254,0
2020-11-03T08:13:44+00:00,64,0,254,0,254,0,254,0
2020-11-03T08:13:46+00:00,11,0,254,0,254,0,254,0
2020-11-03T08:19:13+00:00,64,0,254,0,254,0,254,0
2020-11-03T08:19:19+00:00,11,0,254,0,254,0,254,0
2020-11-03T08:23:03+00:00,64,0,254,0,254,0,254,0
2020-11-03T08:23:07+00:00,11,0,254,0,254,0,254,0
2020-11-03T08:24:03+00:00,64,0,254,0,254,0,254,0
2020-11-03T08:24:07+00:00,11,0,254,0,254,0,254,0
2020-11-03T08:29:42+00:00,64,0,254,0,254,0,254,0
2020-11-03T08:29:51+00:00,11,0,254,0,254,0,254,0
2020-11-03T08:31:21+00:00,9,0,254,0,254,0,254,0
2020-11-03T08:31:30+00:00,7,0,254,0,254,0,254,0
2020-11-03T08:31:32+00:00,5,0,254,0,254,0,254,0
2020-11-03T08:31:57+00:00,11,0,254,0,254,0,254,0
2020-11-03T08:36:53+00:00,64,0,254,0,254,0,254,0
2020-11-03T08:36:58+00:00,11,0,254,0,254,0,254,0
2020-11-03T08:40:50+00:00,64,0,254,0,254,0,254,0
2020-11-03T08:42:10+00:00,11,0,254,0,254,0,254,0
2020-11-03T08:42:58+00:00,11,0,7,6,254,0,254,0
2020-11-03T08:43:14+00:00,11,0,254,0,254,0,254,0
2020-11-03T08:43:29+00:00,64,0,254,0,254,0,254,0
2020-11-03T08:43:34+00:00,11,0,254,0,254,0,254,0
2020-11-03T08:43:50+00:00,11,0,7,6,254,0,254,0
2020-11-03T08:44:05+00:00,64,0,254,0,254,0,254,0
2020-11-03T08:44:09+00:00,11,0,254,0,254,0,254,0
2020-11-03T08:46:20+00:00,64,0,254,0,254,0,254,0
2020-11-03T08:46:27+00:00,11,0,254,0,254,0,254,0
2020-11-03T08:46:58+00:00,11,0,7,6,254,0,254,0
2020-11-03T08:47:01+00:00,11,0,200,0,5,6,254,0
2020-11-03T08:47:08+00:00,172,0,200,0,5,6,254,0
2020-11-03T08:47:17+00:00,172,0,254,0,254,0,254,0
2020-11-03T08:47:24+00:00,254,0,254,0,254,0,254,0
2020-11-03T08:48:31+00:00,3,0,254,0,254,0,254,0
2020-11-03T08:49:14+00:00,254,0,254,0,254,0,254,0
2020-11-03T08:52:29+00:00,1,0,254,0,254,0,254,0
2020-11-03T09:00:55+00:00,254,0,254,0,254,0,254,0
2020-11-03T09:01:41+00:00,0,0,254,0,254,0,254,0
2020-11-03T09:02:21+00:00,254,0,254,0,254,0,254,0
2020-11-03T09:02:49+00:00,3,0,254,0,254,0,254,0
2020-11-03T09:04:42+00:00,254,0,254,0,254,0,254,0
2020-11-03T09:07:00+00:00,5,0,254,0,254,0,254,0
2020-11-03T09:07:15+00:00,3,0,254,0,254,0,254,0
2020-11-03T09:08:14+00:00,5,0,254,0,254,0,254,0
2020-11-03T09:08:37+00:00,171,0,254,0,254,0,254,0
2020-11-03T09:08:45+00:00,11,0,254,0,254,0,254,0
2020-11-03T09:13:12+00:00,64,0,254,0,254,0,254,0
2020-11-03T09:13:21+00:00,11,0,254,0,254,0,254,0
2020-11-03T09:19:51+00:00,254,0,254,0,254,0,254,0
2020-11-03T09:20:26+00:00,64,0,254,0,254,0,254,0
2020-11-03T09:20:32+00:00,11,0,254,0,254,0,254,0
2020-11-03T09:24:14+00:00,11,0,200,0,254,0,254,0
2020-11-03T09:24:30+00:00,11,0,254,0,254,0,254,0
2020-11-03T09:30:10+00:00,64,0,254,0,254,0,254,0
2020-11-03T09:30:17+00:00,11,0,254,0,254,0,254,0
2020-11-03T09:37:46+00:00,11,0,7,6,254,0,254,0
2020-11-03T09:38:02+00:00,11,0,254,0,254,0,254,0
2020-11-03T09:38:06+00:00,64,0,254,0,254,0,254,0
2020-11-03T09:38:09+00:00,11,0,254,0,254,0,254,0
2020-11-03T09:40:29+00:00,11,0,7,6,254,0,254,0
2020-11-03T09:40:45+00:00,11,0,254,0,254,0,254,0
2020-11-03T09:40:46+00:00,64,0,254,0,254,0,254,0
2020-11-03T09:40:49+00:00,11,0,254,0,254,0,254,0
2020-11-03T09:43:33+00:00,11,0,7,6,254,0,254,0
2020-11-03T09:43:49+00:00,11,0,254,0,254,0,254,0
2020-11-03T09:43:54+00:00,64,0,254,0,254,0,254,0
2020-11-03T09:43:57+00:00,11,0,254,0,254,0,254,0
2020-11-03T09:44:33+00:00,11,0,7,6,254,0,254,0
2020-11-03T09:44:49+00:00,11,0,254,0,254,0,254,0
2020-11-03T09:44:56+00:00,64,0,254,0,254,0,254,0
2020-11-03T09:45:02+00:00,11,0,254,0,254,0,254,0
2020-11-03T09:47:32+00:00,11,0,7,6,254,0,254,0
2020-11-03T09:47:38+00:00,11,0,200,0,7,6,254,0
2020-11-03T09:47:48+00:00,11,0,200,0,254,0,254,0
2020-11-03T09:47:51+00:00,64,0,254,0,254,0,254,0
2020-11-03T09:47:54+00:00,11,0,254,0,254,0,254,0
2020-11-03T09:50:58+00:00,11,0,7,6,254,0,254,0
2020-11-03T09:51:13+00:00,11,0,254,0,254,0,254,0
