ts,ts_fix,lat,lon,alt,hdg,spd
2020-10-29T15:10:13.726797+00:00,2020-10-29T15:10:14.000000Z,38.7728,-9.14472,0.0,353.828,0.0
2020-10-29T15:10:14.726872+00:00,2020-10-29T15:10:17.000000Z,38.7728,-9.14472,0.0,356.59,0.0
2020-10-29T15:10:15.727399+00:00,2020-10-29T15:10:18.000000Z,38.7728,-9.14472,0.0,355.708,0.0
2020-10-29T15:10:16.728223+00:00,2020-10-29T15:10:19.000000Z,38.7728,-9.14472,0.0,356.031,0.0
2020-10-29T15:10:17.728914+00:00,2020-10-29T15:10:20.000000Z,38.7728,-9.14472,0.0,358.505,0.0
2020-10-29T15:10:18.729866+00:00,2020-10-29T15:10:21.000000Z,38.7728,-9.14472,0.0,356.918,0.0
2020-10-29T15:10:19.730339+00:00,2020-10-29T15:10:22.000000Z,38.7729,-9.14472,0.0,355.582,0.0
2020-10-29T15:10:20.731055+00:00,2020-10-29T15:10:23.000000Z,38.7729,-9.14472,0.0,357.513,0.0
2020-10-29T15:10:21.732738+00:00,2020-10-29T15:10:24.000000Z,38.7729,-9.14473,0.0,357.976,0.0
2020-10-29T15:10:22.733470+00:00,2020-10-29T15:10:25.000000Z,38.7729,-9.14473,0.0,355.913,0.0
2020-10-29T15:10:23.733595+00:00,2020-10-29T15:10:26.000000Z,38.7729,-9.14473,0.0,354.936,0.0
2020-10-29T15:10:24.734422+00:00,2020-10-29T15:10:27.000000Z,38.7729,-9.14473,0.0,356.324,0.0
2020-10-29T15:10:25.734576+00:00,2020-10-29T15:10:28.000000Z,38.7729,-9.14473,0.0,357.589,0.0
2020-10-29T15:10:26.735289+00:00,2020-10-29T15:10:29.000000Z,38.7729,-9.14473,0.0,359.379,0.0
2020-10-29T15:10:27.736324+00:00,2020-10-29T15:10:30.000000Z,38.7729,-9.14473,0.0,357.12,0.0
2020-10-29T15:10:28.737213+00:00,2020-10-29T15:10:31.000000Z,38.7729,-9.14473,0.0,357.249,0.0
2020-10-29T15:10:29.738313+00:00,2020-10-29T15:10:32.000000Z,38.7729,-9.14473,0.0,356.84,0.0
2020-10-29T15:10:30.738334+00:00,2020-10-29T15:10:33.000000Z,38.7729,-9.14474,0.0,358.463,0.0
2020-10-29T15:10:31.739152+00:00,2020-10-29T15:10:34.000000Z,38.7731,-9.14477,99.132,3.549,0.0
2020-10-29T15:10:32.740014+00:00,2020-10-29T15:10:35.000000Z,38.7731,-9.14477,98.99,6.1333,0.0
2020-10-29T15:10:33.740651+00:00,2020-10-29T15:10:36.000000Z,38.7731,-9.14477,98.881,358.97,0.0
2020-10-29T15:10:34.741425+00:00,2020-10-29T15:10:37.000000Z,38.7731,-9.14477,98.391,356.251,0.0
2020-10-29T15:10:35.742198+00:00,2020-10-29T15:10:38.000000Z,38.7731,-9.14478,97.889,357.584,0.0
2020-10-29T15:10:36.743033+00:00,2020-10-29T15:10:39.000000Z,38.7731,-9.14477,97.306,355.132,0.0
2020-10-29T15:10:37.743226+00:00,2020-10-29T15:10:40.000000Z,38.7731,-9.14477,96.792,353.186,0.0
2020-10-29T15:10:38.743676+00:00,2020-10-29T15:10:41.000000Z,38.7731,-9.14477,96.144,352.397,0.0
2020-10-29T15:10:39.744972+00:00,2020-10-29T15:10:42.000000Z,38.7731,-9.14477,95.837,343.628,0.0
2020-10-29T15:10:40.745973+00:00,2020-10-29T15:10:43.000000Z,38.7731,-9.14477,95.684,347.546,0.0
2020-10-29T15:10:41.746381+00:00,2020-10-29T15:10:44.000000Z,38.7731,-9.14477,95.556,348.941,0.0
2020-10-29T15:10:42.746611+00:00,2020-10-29T15:10:45.000000Z,38.7731,-9.14477,95.394,347.441,0.0
2020-10-29T15:10:43.747929+00:00,2020-10-29T15:10:46.000000Z,38.7731,-9.14476,94.735,343.101,0.0
2020-10-29T15:10:44.748286+00:00,2020-10-29T15:10:47.000000Z,38.7731,-9.14476,94.685,342.449,0.0
2020-10-29T15:10:45.749092+00:00,2020-10-29T15:10:48.000000Z,38.773,-9.14476,95.166,344.998,0.0
2020-10-29T15:10:46.748627+00:00,2020-10-29T15:10:49.000000Z,38.773,-9.14476,94.92,342.098,0.0
2020-10-29T15:10:47.749851+00:00,2020-10-29T15:10:50.000000Z,38.773,-9.14475,95.121,349.303,0.0
2020-10-29T15:10:48.751624+00:00,2020-10-29T15:10:51.000000Z,38.773,-9.14475,95.634,344.806,0.0
2020-10-29T15:10:49.751477+00:00,2020-10-29T15:10:52.000000Z,38.773,-9.14475,96.234,344.757,0.0
2020-10-29T15:10:50.751592+00:00,2020-10-29T15:10:53.000000Z,38.773,-9.14475,96.722,343.622,0.0
2020-10-29T15:10:51.752415+00:00,2020-10-29T15:10:54.000000Z,38.773,-9.14475,97.188,335.725,0.0
2020-10-29T15:10:52.752773+00:00,2020-10-29T15:10:55.000000Z,38.773,-9.14475,98.1,334.876,0.0
2020-10-29T15:10:53.753005+00:00,2020-10-29T15:10:56.000000Z,38.773,-9.14475,98.786,338.08,0.0
2020-10-29T15:10:54.753310+00:00,2020-10-29T15:10:57.000000Z,38.773,-9.14475,99.193,335.088,0.0
2020-10-29T15:10:55.754535+00:00,2020-10-29T15:10:58.000000Z,38.773,-9.14475,99.674,323.483,0.0
2020-10-29T15:10:56.754744+00:00,2020-10-29T15:10:59.000000Z,38.773,-9.14475,100.406,311.952,0.0
2020-10-29T15:10:57.754911+00:00,2020-10-29T15:11:00.000000Z,38.773,-9.14474,100.716,300.828,0.0
2020-10-29T15:10:58.755286+00:00,2020-10-29T15:11:01.000000Z,38.773,-9.14474,100.976,293.895,0.0
2020-10-29T15:10:59.755683+00:00,2020-10-29T15:11:02.000000Z,38.773,-9.14474,101.408,238.107,0.0
2020-10-29T15:11:00.756418+00:00,2020-10-29T15:11:03.000000Z,38.773,-9.14474,101.461,292.79,0.0
2020-10-29T15:11:01.756911+00:00,2020-10-29T15:11:04.000000Z,38.773,-9.14474,102.727,311.119,0.0
2020-10-29T15:11:02.757878+00:00,2020-10-29T15:11:05.000000Z,38.773,-9.14474,103.964,343.608,0.0
2020-10-29T15:11:03.758262+00:00,2020-10-29T15:11:06.000000Z,38.773,-9.14475,105.406,339.214,7.6068
2020-10-29T15:11:04.759302+00:00,2020-10-29T15:11:07.000000Z,38.773,-9.14476,107.421,311.911,6.1272
2020-10-29T15:11:05.759524+00:00,2020-10-29T15:11:08.000000Z,38.773,-9.14478,110.52,328.891,8.3556
2020-10-29T15:11:06.760363+00:00,2020-10-29T15:11:09.000000Z,38.773,-9.1448,111.037,277.976,7.0236
2020-10-29T15:11:07.760549+00:00,2020-10-29T15:11:07.000000Z,38.7729,-9.14483,112.902,248.92,8.6436
2020-10-29T15:11:08.760796+00:00,2020-10-29T15:11:08.000000Z,38.7729,-9.14485,114.978,236.068,8.8524
2020-10-29T15:11:09.761882+00:00,2020-10-29T15:11:09.000000Z,38.7729,-9.14487,116.045,230.424,11.2104
2020-10-29T15:11:10.761676+00:00,2020-10-29T15:11:10.000000Z,38.7728,-9.14489,115.676,231.861,12.2832
2020-10-29T15:11:11.762615+00:00,2020-10-29T15:11:11.000000Z,38.7728,-9.14491,116.498,233.667,11.2104
2020-10-29T15:11:12.763038+00:00,2020-10-29T15:11:12.000000Z,38.7728,-9.14494,118.954,228.494,11.2536
2020-10-29T15:11:13.763130+00:00,2020-10-29T15:11:13.000000Z,38.7728,-9.14494,118.416,214.691,8.2836
2020-10-29T15:11:14.763335+00:00,2020-10-29T15:11:14.000000Z,38.7728,-9.14493,116.53,291.701,4.2984
2020-10-29T15:11:15.764231+00:00,2020-10-29T15:11:15.000000Z,38.7729,-9.14492,114.788,311.537,0.0
2020-10-29T15:11:16.764789+00:00,2020-10-29T15:11:16.000000Z,38.7729,-9.14492,112.619,332.376,6.0372
2020-10-29T15:11:17.765776+00:00,2020-10-29T15:11:17.000000Z,38.7729,-9.14491,110.638,337.779,0.0
2020-10-29T15:11:18.767039+00:00,2020-10-29T15:11:18.000000Z,38.7729,-9.14491,108.919,334.343,0.0
2020-10-29T15:11:19.768377+00:00,2020-10-29T15:11:19.000000Z,38.7729,-9.14492,108.364,269.435,6.0516
2020-10-29T15:11:20.768956+00:00,2020-10-29T15:11:20.000000Z,38.7729,-9.14492,107.755,234.778,0.0
2020-10-29T15:11:21.770148+00:00,2020-10-29T15:11:21.000000Z,38.773,-9.14491,107.181,216.848,0.0
2020-10-29T15:11:22.770488+00:00,2020-10-29T15:11:22.000000Z,38.773,-9.14491,107.074,218.502,0.0
2020-10-29T15:11:23.770811+00:00,2020-10-29T15:11:23.000000Z,38.773,-9.14491,107.118,216.895,0.0
2020-10-29T15:11:24.771728+00:00,2020-10-29T15:11:24.000000Z,38.773,-9.14491,107.16,218.721,0.0
2020-10-29T15:11:25.772840+00:00,2020-10-29T15:11:25.000000Z,38.773,-9.14491,107.255,338.506,0.0
2020-10-29T15:11:26.773804+00:00,2020-10-29T15:11:26.000000Z,38.773,-9.14491,109.057,331.205,0.0
2020-10-29T15:11:27.775453+00:00,2020-10-29T15:11:27.000000Z,38.773,-9.14491,109.556,354.663,0.0
2020-10-29T15:11:28.775701+00:00,2020-10-29T15:11:28.000000Z,38.773,-9.14487,0.0,73.2888,6.7032
2020-10-29T15:11:29.775988+00:00,2020-10-29T15:11:29.000000Z,38.773,-9.14487,0.0,33.6535,0.0
2020-10-29T15:11:30.777451+00:00,2020-10-29T15:11:30.000000Z,38.773,-9.14486,99.564,181.388,16.7436
2020-10-29T15:11:31.778026+00:00,2020-10-29T15:11:31.000000Z,38.773,-9.14488,105.467,191.94,12.834
2020-10-29T15:11:32.777674+00:00,2020-10-29T15:11:32.000000Z,38.773,-9.14488,105.995,179.898,11.6856
