ts,ts_fix,lat,lon,alt,hdg,spd
2020-10-28T15:55:54.555784+00:00,2020-10-28T15:55:57.000000Z,38.7833,-9.16665,0.0,310.079,50.8356
2020-10-28T15:55:55.555804+00:00,2020-10-28T15:55:58.000000Z,38.7834,-9.16685,0.0,312.161,55.386
2020-10-28T15:55:56.556544+00:00,2020-10-28T15:55:59.000000Z,38.7835,-9.16699,0.0,312.565,59.4828
2020-10-28T15:55:57.557445+00:00,2020-10-28T15:56:00.000000Z,38.7836,-9.16714,0.0,311.174,60.5304
2020-10-28T15:55:58.558023+00:00,2020-10-28T15:56:01.000000Z,38.7837,-9.16728,0.0,311.582,62.55
2020-10-28T15:55:59.558169+00:00,2020-10-28T15:56:02.000000Z,38.7838,-9.16743,0.0,314.099,64.1736
2020-10-28T15:56:00.558240+00:00,2020-10-28T15:56:03.000000Z,38.784,-9.16757,0.0,316.8,65.7756
2020-10-28T15:56:01.559016+00:00,2020-10-28T15:56:04.000000Z,38.7841,-9.16772,0.0,317.522,68.5224
2020-10-28T15:56:02.559093+00:00,2020-10-28T15:56:05.000000Z,38.7842,-9.16787,0.0,316.507,70.632
2020-10-28T15:56:03.559577+00:00,2020-10-28T15:56:06.000000Z,38.7844,-9.16801,0.0,318.642,75.222
2020-10-28T15:56:04.559662+00:00,2020-10-28T15:56:07.000000Z,38.7846,-9.16817,0.0,320.589,77.5152
2020-10-28T15:56:05.560429+00:00,2020-10-28T15:56:08.000000Z,38.7847,-9.16832,0.0,321.143,73.26
2020-10-28T15:56:06.560830+00:00,2020-10-28T15:56:09.000000Z,38.7849,-9.16846,0.0,325.799,76.0608
2020-10-28T15:56:07.561765+00:00,2020-10-28T15:56:10.000000Z,38.785,-9.1686,0.0,325.962,77.3676
2020-10-28T15:56:08.562669+00:00,2020-10-28T15:56:11.000000Z,38.7852,-9.16873,0.0,327.772,78.4836
2020-10-28T15:56:09.563654+00:00,2020-10-28T15:56:12.000000Z,38.7854,-9.16885,0.0,331.01,79.6608
2020-10-28T15:56:10.563671+00:00,2020-10-28T15:56:13.000000Z,38.7856,-9.16896,0.0,333.718,81.1296
2020-10-28T15:56:11.564819+00:00,2020-10-28T15:56:14.000000Z,38.7857,-9.16907,0.0,333.626,81.3312
2020-10-28T15:56:12.565215+00:00,2020-10-28T15:56:15.000000Z,38.7859,-9.16919,0.0,334.527,80.496
2020-10-28T15:56:13.566286+00:00,2020-10-28T15:56:16.000000Z,38.7861,-9.16929,0.0,337.692,82.71
2020-10-28T15:56:14.567619+00:00,2020-10-28T15:56:17.000000Z,38.7863,-9.16939,0.0,339.829,83.5632
2020-10-28T15:56:15.568351+00:00,2020-10-28T15:56:18.000000Z,38.7865,-9.16948,0.0,341.304,84.5964
2020-10-28T15:56:16.569157+00:00,2020-10-28T15:56:19.000000Z,38.7867,-9.16956,0.0,342.928,85.2408
2020-10-28T15:56:17.572957+00:00,2020-10-28T15:56:20.000000Z,38.7869,-9.16965,0.0,341.559,85.9536
2020-10-28T15:56:19.322425+00:00,2020-10-28T15:56:22.000000Z,38.7873,-9.16984,0.0,339.294,89.3988
2020-10-28T15:56:20.323384+00:00,2020-10-28T15:56:23.000000Z,38.7875,-9.16994,0.0,340.191,91.1052
2020-10-28T15:56:21.323559+00:00,2020-10-28T15:56:24.000000Z,38.7877,-9.17004,0.0,340.986,94.2048
2020-10-28T15:56:22.323885+00:00,2020-10-28T15:56:25.000000Z,38.788,-9.17014,0.0,341.652,94.9176
2020-10-28T15:56:23.324232+00:00,2020-10-28T15:56:26.000000Z,38.7882,-9.17022,0.0,344.061,97.1064
2020-10-28T15:56:24.325045+00:00,2020-10-28T15:56:27.000000Z,38.7884,-9.1703,0.0,346.37,98.7876
2020-10-28T15:56:25.325717+00:00,2020-10-28T15:56:28.000000Z,38.7888,-9.16996,21.707,351.038,101.038
2020-10-28T15:56:26.326297+00:00,2020-10-28T15:56:29.000000Z,38.7891,-9.17,23.018,354.85,101.945
2020-10-28T15:56:27.326469+00:00,2020-10-28T15:56:30.000000Z,38.7894,-9.17001,23.25,358.741,102.362
2020-10-28T15:56:28.329046+00:00,2020-10-28T15:56:31.000000Z,38.7896,-9.17001,23.245,2.8699,103.273
2020-10-28T15:56:29.328021+00:00,2020-10-28T15:56:32.000000Z,38.7899,-9.16997,22.385,7.296,102.719
2020-10-28T15:56:30.328586+00:00,2020-10-28T15:56:33.000000Z,38.7901,-9.1699,19.665,11.5814,102.013
2020-10-28T15:56:31.328926+00:00,2020-10-28T15:56:34.000000Z,38.7904,-9.16981,19.253,15.05,101.747
2020-10-28T15:56:32.329936+00:00,2020-10-28T15:56:35.000000Z,38.7906,-9.16971,18.09,18.5392,99.72
2020-10-28T15:56:33.330184+00:00,2020-10-28T15:56:36.000000Z,38.7908,-9.16958,17.252,23.8411,100.213
2020-10-28T15:56:34.330815+00:00,2020-10-28T15:56:37.000000Z,38.7911,-9.16943,15.724,28.4681,100.087
2020-10-28T15:56:35.331491+00:00,2020-10-28T15:56:38.000000Z,38.7913,-9.16927,14.822,30.1931,99.3672
2020-10-28T15:56:36.331594+00:00,2020-10-28T15:56:39.000000Z,38.7915,-9.1691,13.345,32.4422,97.4196
2020-10-28T15:56:37.332554+00:00,2020-10-28T15:56:40.000000Z,38.7917,-9.16891,13.019,35.7903,98.1108
2020-10-28T15:56:38.333228+00:00,2020-10-28T15:56:41.000000Z,38.7919,-9.1687,13.745,39.0997,99.7344
2020-10-28T15:56:39.334234+00:00,2020-10-28T15:56:42.000000Z,38.7921,-9.16849,0.0,41.5555,99.7128
2020-10-28T15:56:40.334303+00:00,2020-10-28T15:56:43.000000Z,38.7923,-9.16826,0.0,43.5316,103.658
2020-10-28T15:56:41.335163+00:00,2020-10-28T15:56:44.000000Z,38.7924,-9.16802,17.059,44.6216,91.4328
2020-10-28T15:56:42.335635+00:00,2020-10-28T15:56:45.000000Z,38.7926,-9.16779,17.098,47.4434,98.3376
2020-10-28T15:56:43.337347+00:00,2020-10-28T15:56:46.000000Z,38.7928,-9.16755,18.486,48.1063,100.994
2020-10-28T15:56:44.337931+00:00,2020-10-28T15:56:47.000000Z,38.7929,-9.16731,18.258,50.5787,99.882
2020-10-28T15:56:45.336386+00:00,2020-10-28T15:56:48.000000Z,38.7931,-9.16706,18.878,51.9415,98.8524
2020-10-28T15:56:46.336546+00:00,2020-10-28T15:56:49.000000Z,38.7932,-9.16679,18.61,53.2027,100.379
2020-10-28T15:56:47.337570+00:00,2020-10-28T15:56:50.000000Z,38.7934,-9.16653,17.261,54.5039,101.264
2020-10-28T15:56:48.337976+00:00,2020-10-28T15:56:51.000000Z,38.7935,-9.16626,16.564,55.8719,100.091
2020-10-28T15:56:49.338702+00:00,2020-10-28T15:56:52.000000Z,38.7937,-9.16599,17.826,57.3311,99.3348
2020-10-28T15:56:50.339448+00:00,2020-10-28T15:56:53.000000Z,38.7938,-9.16571,16.982,58.2257,98.6796
2020-10-28T15:56:51.339896+00:00,2020-10-28T15:56:54.000000Z,38.7939,-9.16543,17.194,60.5467,101.185
2020-10-28T15:56:52.340875+00:00,2020-10-28T15:56:55.000000Z,38.794,-9.16515,17.108,60.8258,99.6084
2020-10-28T15:56:53.341430+00:00,2020-10-28T15:56:56.000000Z,38.7941,-9.16486,17.076,62.1076,100.022
2020-10-28T15:56:54.342889+00:00,2020-10-28T15:56:57.000000Z,38.7943,-9.16456,17.509,64.0665,99.6984
2020-10-28T15:56:55.344077+00:00,2020-10-28T15:56:58.000000Z,38.7944,-9.16428,18.339,65.7101,100.037
2020-10-28T15:56:56.344289+00:00,2020-10-28T15:56:59.000000Z,38.7945,-9.16398,18.488,66.7468,100.843
2020-10-28T15:56:57.345246+00:00,2020-10-28T15:57:00.000000Z,38.7946,-9.16368,18.716,68.4275,100.087
2020-10-28T15:56:58.346149+00:00,2020-10-28T15:57:01.000000Z,38.7946,-9.16338,18.863,69.96,99.3816
2020-10-28T15:56:59.347085+00:00,2020-10-28T15:57:02.000000Z,38.7947,-9.16308,19.166,69.7381,100.602
2020-10-28T15:57:00.348045+00:00,2020-10-28T15:57:03.000000Z,38.7948,-9.16278,19.825,69.8101,101.534
2020-10-28T15:57:01.348509+00:00,2020-10-28T15:57:04.000000Z,38.7949,-9.16249,19.799,71.2474,99.9396
2020-10-28T15:57:02.349485+00:00,2020-10-28T15:57:05.000000Z,38.795,-9.16219,19.723,71.4839,99.5076
2020-10-28T15:57:03.349839+00:00,2020-10-28T15:57:06.000000Z,38.795,-9.16189,19.594,70.1389,100.246
2020-10-28T15:57:04.349867+00:00,2020-10-28T15:57:07.000000Z,38.7951,-9.16159,19.581,68.7556,100.472
2020-10-28T15:57:05.351036+00:00,2020-10-28T15:57:08.000000Z,38.7952,-9.16129,19.452,67.3945,99.2088
2020-10-28T15:57:06.352702+00:00,2020-10-28T15:57:09.000000Z,38.7953,-9.161,19.393,66.0858,98.7048
2020-10-28T15:57:07.352810+00:00,2020-10-28T15:57:10.000000Z,38.7954,-9.1607,17.012,64.5046,100.764
2020-10-28T15:57:08.353998+00:00,2020-10-28T15:57:11.000000Z,38.7955,-9.16041,16.962,62.4888,100.739
2020-10-28T15:57:09.354938+00:00,2020-10-28T15:57:12.000000Z,38.7957,-9.16013,17.13,60.7785,99.54
2020-10-28T15:57:10.355122+00:00,2020-10-28T15:57:13.000000Z,38.7958,-9.15986,18.069,59.8466,101.131
2020-10-28T15:57:11.356524+00:00,2020-10-28T15:57:14.000000Z,38.7959,-9.15958,18.092,58.0186,100.717
2020-10-28T15:57:12.357372+00:00,2020-10-28T15:57:15.000000Z,38.7961,-9.15931,18.039,56.5334,101.192
2020-10-28T15:57:13.358002+00:00,2020-10-28T15:57:16.000000Z,38.7962,-9.15905,18.305,54.9388,100.526
2020-10-28T15:57:14.358837+00:00,2020-10-28T15:57:17.000000Z,38.7963,-9.15879,18.674,53.8421,100.112
2020-10-28T15:57:15.358959+00:00,2020-10-28T15:57:18.000000Z,38.7965,-9.15853,18.934,52.7891,98.7588
2020-10-28T15:57:16.359905+00:00,2020-10-28T15:57:19.000000Z,38.7967,-9.15828,19.789,52.2346,101.246
2020-10-28T15:57:17.361075+00:00,2020-10-28T15:57:20.000000Z,38.7968,-9.15804,20.138,47.9712,100.778
