ts,tsr_1_speed,tsr_1_sup,tsr_2_speed,tsr_2_sup,tsr_3_speed,tsr_3_sup,tsr_4_speed,tsr_4_sup
2020-10-29T15:40:52+00:00,1,0,254,0,254,0,254,0
2020-10-29T15:48:45+00:00,254,0,254,0,254,0,254,0
2020-10-29T15:51:52+00:00,5,0,254,0,254,0,254,0
2020-10-29T15:53:02+00:00,7,0,254,0,254,0,254,0
2020-10-29T15:54:03+00:00,64,0,254,0,254,0,254,0
2020-10-29T15:54:25+00:00,64,0,6,6,254,0,254,0
2020-10-29T15:54:35+00:00,8,0,6,6,254,0,254,0
2020-10-29T15:54:41+00:00,8,0,254,0,254,0,254,0
2020-10-29T15:55:57+00:00,7,0,254,0,254,0,254,0
2020-10-29T15:56:32+00:00,8,0,254,0,254,0,254,0
2020-10-29T15:56:39+00:00,64,0,254,0,254,0,254,0
2020-10-29T15:56:40+00:00,8,0,254,0,254,0,254,0
2020-10-29T15:57:14+00:00,64,0,254,0,254,0,254,0
2020-10-29T15:57:17+00:00,8,0,254,0,254,0,254,0
2020-10-29T15:57:22+00:00,6,0,254,0,254,0,254,0
2020-10-29T15:57:35+00:00,4,0,254,0,254,0,254,0
2020-10-29T15:59:16+00:00,4,0,5,20,254,0,254,0
2020-10-29T15:59:32+00:00,4,0,254,0,254,0,254,0
2020-10-29T15:59:32+00:00,7,0,254,0,254,0,254,0
2020-10-29T16:00:02+00:00,7,0,5,6,254,0,254,0
2020-10-29T16:00:07+00:00,5,0,200,0,5,6,254,0
2020-10-29T16:00:15+00:00,3,0,200,0,5,6,254,0
2020-10-29T16:00:18+00:00,3,0,200,0,254,0,254,0
2020-10-29T16:00:23+00:00,3,0,254,0,254,0,254,0
2020-10-29T16:00:49+00:00,171,0,254,0,254,0,254,0
2020-10-29T16:01:01+00:00,64,0,254,0,254,0,254,0
2020-10-29T16:02:07+00:00,64,0,7,6,254,0,254,0
2020-10-29T16:02:23+00:00,64,0,254,0,254,0,254,0
2020-10-29T16:02:31+00:00,5,0,254,0,254,0,254,0
2020-10-29T16:02:34+00:00,9,0,254,0,254,0,254,0
2020-10-29T16:02:46+00:00,7,0,254,0,254,0,254,0
2020-10-29T16:02:49+00:00,5,0,254,0,254,0,254,0
2020-10-29T16:03:11+00:00,11,0,254,0,254,0,254,0
2020-10-29T16:04:11+00:00,64,0,254,0,254,0,254,0
2020-10-29T16:04:17+00:00,11,0,254,0,254,0,254,0
2020-10-29T16:06:56+00:00,11,0,7,6,254,0,254,0
2020-10-29T16:07:12+00:00,11,0,254,0,254,0,254,0
2020-10-29T16:07:33+00:00,64,0,254,0,254,0,254,0
2020-10-29T16:07:35+00:00,11,0,254,0,254,0,254,0
2020-10-29T16:09:09+00:00,64,0,254,0,254,0,254,0
2020-10-29T16:09:14+00:00,11,0,254,0,254,0,254,0
2020-10-29T16:09:36+00:00,9,0,254,0,254,0,254,0
2020-10-29T16:10:22+00:00,64,0,254,0,254,0,254,0
2020-10-29T16:10:24+00:00,11,0,254,0,254,0,254,0
2020-10-29T16:15:15+00:00,64,0,254,0,254,0,254,0
2020-10-29T16:15:17+00:00,11,0,254,0,254,0,254,0
2020-10-29T16:20:35+00:00,5,0,254,0,254,0,254,0
2020-10-29T16:20:46+00:00,3,0,254,0,254,0,254,0
2020-10-29T16:21:34+00:00,5,0,254,0,254,0,254,0
2020-10-29T16:21:49+00:00,172,0,254,0,254,0,254,0
2020-10-29T16:22:03+00:00,254,0,254,0,254,0,254,0
2020-10-29T16:22:58+00:00,6,0,254,0,254,0,254,0
2020-10-29T16:23:02+00:00,4,0,254,0,254,0,254,0
2020-10-29T16:23:21+00:00,4,0,201,0,254,0,254,0
2020-10-29T16:23:37+00:00,4,0,254,0,254,0,254,0
2020-10-29T16:23:51+00:00,4,0,200,0,254,0,254,0
2020-10-29T16:24:07+00:00,4,0,254,0,254,0,254,0
2020-10-29T16:24:15+00:00,254,0,254,0,254,0,254,0
