ts,tsr_1_speed,tsr_1_sup,tsr_2_speed,tsr_2_sup,tsr_3_speed,tsr_3_sup,tsr_4_speed,tsr_4_sup
2020-10-28T18:35:17+00:00,64,0,254,0,254,0,254,0
2020-10-28T18:35:34+00:00,5,0,254,0,254,0,254,0
2020-10-28T18:35:34+00:00,5,0,200,0,254,0,254,0
2020-10-28T18:35:50+00:00,5,0,254,0,254,0,254,0
2020-10-28T18:36:11+00:00,7,0,254,0,254,0,254,0
2020-10-28T18:36:20+00:00,3,0,200,0,254,0,254,0
2020-10-28T18:36:36+00:00,3,0,254,0,254,0,254,0
2020-10-28T18:37:36+00:00,254,0,254,0,254,0,254,0
2020-10-28T18:38:15+00:00,254,0,201,0,254,0,254,0
2020-10-28T18:38:30+00:00,254,0,254,0,254,0,254,0
2020-10-28T18:38:39+00:00,7,0,254,0,254,0,254,0
2020-10-28T18:38:59+00:00,6,0,200,0,254,0,254,0
2020-10-28T18:39:15+00:00,6,0,254,0,254,0,254,0
2020-10-28T18:39:34+00:00,6,0,201,0,254,0,254,0
2020-10-28T18:39:50+00:00,6,0,254,0,254,0,254,0
2020-10-28T18:39:53+00:00,6,0,200,0,254,0,254,0
2020-10-28T18:39:56+00:00,4,0,200,0,254,0,254,0
2020-10-28T18:40:08+00:00,4,0,201,0,254,0,254,0
2020-10-28T18:40:24+00:00,4,0,254,0,254,0,254,0
2020-10-28T18:40:30+00:00,4,0,200,0,254,0,254,0
2020-10-28T18:40:46+00:00,4,0,254,0,254,0,254,0
2020-10-28T18:41:26+00:00,4,0,201,0,254,0,254,0
2020-10-28T18:41:38+00:00,4,0,200,0,254,0,254,0
2020-10-28T18:41:54+00:00,4,0,254,0,254,0,254,0
2020-10-28T18:41:58+00:00,64,0,254,0,254,0,254,0
2020-10-28T18:42:31+00:00,64,0,200,0,254,0,254,0
2020-10-28T18:42:47+00:00,64,0,254,0,254,0,254,0
2020-10-28T18:42:53+00:00,64,0,201,0,254,0,254,0
2020-10-28T18:43:08+00:00,64,0,254,0,254,0,254,0
2020-10-28T18:43:33+00:00,64,0,200,0,254,0,254,0
2020-10-28T18:43:36+00:00,4,0,200,0,254,0,254,0
2020-10-28T18:43:49+00:00,4,0,254,0,254,0,254,0
2020-10-28T18:44:27+00:00,4,0,201,0,254,0,254,0
2020-10-28T18:44:43+00:00,4,0,254,0,254,0,254,0
2020-10-28T18:44:54+00:00,4,0,200,0,254,0,254,0
2020-10-28T18:45:10+00:00,4,0,254,0,254,0,254,0
2020-10-28T18:46:16+00:00,254,0,254,0,254,0,254,0
2020-10-28T18:50:21+00:00,4,0,254,0,254,0,254,0
2020-10-28T18:50:29+00:00,2,0,254,0,254,0,254,0
2020-10-28T18:51:21+00:00,6,0,254,0,254,0,254,0
2020-10-28T18:51:44+00:00,254,0,254,0,254,0,254,0
2020-10-28T19:00:11+00:00,4,0,254,0,254,0,254,0
2020-10-28T19:00:16+00:00,4,0,201,0,254,0,254,0
2020-10-28T19:00:32+00:00,4,0,254,0,254,0,254,0
2020-10-28T19:00:39+00:00,4,0,200,0,254,0,254,0
2020-10-28T19:00:53+00:00,4,0,201,0,254,0,254,0
2020-10-28T19:01:10+00:00,4,0,254,0,254,0,254,0
2020-10-28T19:01:44+00:00,4,0,200,0,254,0,254,0
2020-10-28T19:02:00+00:00,4,0,254,0,254,0,254,0
2020-10-28T19:02:00+00:00,254,0,254,0,254,0,254,0
2020-10-28T19:02:39+00:00,254,0,201,0,254,0,254,0
2020-10-28T19:02:55+00:00,254,0,254,0,254,0,254,0
2020-10-28T19:03:05+00:00,254,0,200,0,254,0,254,0
2020-10-28T19:03:22+00:00,254,0,254,0,254,0,254,0
2020-10-28T19:03:45+00:00,254,0,201,0,254,0,254,0
2020-10-28T19:04:01+00:00,254,0,254,0,254,0,254,0
2020-10-28T19:04:25+00:00,254,0,200,0,254,0,254,0
2020-10-28T19:04:41+00:00,254,0,254,0,254,0,254,0
2020-10-28T19:05:37+00:00,254,0,201,0,254,0,254,0
2020-10-28T19:05:53+00:00,254,0,254,0,254,0,254,0
2020-10-28T19:06:15+00:00,254,0,200,0,254,0,254,0
2020-10-28T19:06:29+00:00,254,0,201,0,254,0,254,0
2020-10-28T19:06:44+00:00,254,0,254,0,254,0,254,0
2020-10-28T19:07:02+00:00,254,0,200,0,254,0,254,0
2020-10-28T19:07:06+00:00,254,0,201,0,254,0,254,0
2020-10-28T19:07:22+00:00,254,0,254,0,254,0,254,0
2020-10-28T19:07:39+00:00,254,0,200,0,254,0,254,0
2020-10-28T19:07:55+00:00,254,0,254,0,254,0,254,0
2020-10-28T19:08:28+00:00,6,0,254,0,254,0,254,0
2020-10-28T19:08:35+00:00,6,0,201,0,254,0,254,0
2020-10-28T19:08:51+00:00,6,0,200,0,254,0,254,0
2020-10-28T19:09:06+00:00,6,0,254,0,254,0,254,0
2020-10-28T19:09:25+00:00,4,0,254,0,254,0,254,0
2020-10-28T19:09:30+00:00,2,0,200,0,254,0,254,0
2020-10-28T19:09:46+00:00,2,0,254,0,254,0,254,0
2020-10-28T19:11:12+00:00,254,0,254,0,254,0,254,0
2020-10-28T19:11:48+00:00,64,0,254,0,254,0,254,0
2020-10-28T19:11:52+00:00,64,0,201,0,254,0,254,0
2020-10-28T19:12:08+00:00,64,0,254,0,254,0,254,0
2020-10-28T19:13:11+00:00,64,0,201,0,254,0,254,0
2020-10-28T19:13:29+00:00,64,0,254,0,254,0,254,0
2020-10-28T19:14:47+00:00,64,0,200,0,254,0,254,0
2020-10-28T19:15:02+00:00,64,0,201,0,254,0,254,0
2020-10-28T19:15:08+00:00,254,0,201,0,254,0,254,0
2020-10-28T19:15:18+00:00,254,0,200,0,254,0,254,0
2020-10-28T19:15:24+00:00,254,0,201,0,254,0,254,0
2020-10-28T19:15:40+00:00,254,0,254,0,254,0,254,0
2020-10-28T19:15:57+00:00,254,0,200,0,254,0,254,0
2020-10-28T19:16:13+00:00,254,0,254,0,254,0,254,0
2020-10-28T19:16:38+00:00,254,0,200,0,254,0,254,0
2020-10-28T19:16:54+00:00,254,0,254,0,254,0,254,0
2020-10-28T19:17:11+00:00,254,0,201,0,254,0,254,0
2020-10-28T19:17:20+00:00,4,0,201,0,254,0,254,0
2020-10-28T19:17:27+00:00,4,0,254,0,254,0,254,0
2020-10-28T19:18:36+00:00,2,0,254,0,254,0,254,0
2020-10-28T19:19:44+00:00,254,0,254,0,254,0,254,0
2020-10-28T19:20:39+00:00,4,0,254,0,254,0,254,0
2020-10-28T19:20:51+00:00,254,0,254,0,254,0,254,0
2020-10-28T19:21:11+00:00,6,0,254,0,254,0,254,0
2020-10-28T19:21:38+00:00,254,0,254,0,254,0,254,0
2020-10-28T19:26:12+00:00,4,0,254,0,254,0,254,0
2020-10-28T19:27:10+00:00,254,0,254,0,254,0,254,0
2020-10-28T19:28:43+00:00,254,0,201,0,254,0,254,0
2020-10-28T19:28:59+00:00,254,0,254,0,254,0,254,0
2020-10-28T19:29:03+00:00,254,0,200,0,254,0,254,0
2020-10-28T19:29:19+00:00,254,0,254,0,254,0,254,0
2020-10-28T19:29:52+00:00,6,0,254,0,254,0,254,0
2020-10-28T19:30:12+00:00,254,0,254,0,254,0,254,0
2020-10-28T19:30:19+00:00,171,0,254,0,254,0,254,0
2020-10-28T19:30:27+00:00,5,0,254,0,254,0,254,0
2020-10-28T19:30:58+00:00,5,0,200,0,254,0,254,0
2020-10-28T19:31:01+00:00,3,0,200,0,254,0,254,0
2020-10-28T19:31:13+00:00,3,0,254,0,254,0,254,0
2020-10-28T19:31:22+00:00,64,0,254,0,254,0,254,0
2020-10-28T19:31:56+00:00,11,0,254,0,254,0,254,0
2020-10-28T19:37:15+00:00,64,0,254,0,254,0,254,0
2020-10-28T19:37:18+00:00,11,0,254,0,254,0,254,0
2020-10-28T19:41:36+00:00,9,0,254,0,254,0,254,0
